#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-01-18T17:11:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ587fa18c53e4	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/327/1039&tab:{J/A+A/327/1039/tab2-7}&key:source=J/A+A/327/1039&HTTPPRM:&
#-source=J/A+A/327/1039/tab2-7
#-order=I
#-out=[M/H]
#-out=Y
#-out=Mass
#-out=Age
#-out=Teff
#-out=Lum
#-out=Rad
#-out=logTc
#-out=logRHOc
#-out=Li/Lio
#-out=Be/Beo
#
#
#RESOURCE=yCat_33271039
#Name: J/A+A/327/1039
#Title: Structure and evolution of low-mass stars (Chabrier+ 1997)
#Table	J_A_A_327_1039_tab2-7:
#Name: J/A+A/327/1039/tab2-7
#Title: CB97 models ([M/H] = -2 to 0; Y = 0.25 or 0.275)
#Column	[M/H]	(F4.1)	Initial metallicity	[ucd=phys.abund]
#Column	Y	(F6.3)	Initial helium mass fraction	[ucd=phys.mass;arith.ratio]
#Column	Mass	(F6.3)	[0/1] Mass	[ucd=phys.mass]
#Column	Age	(F5.2)	Age	[ucd=time.age]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	Lum	(F6.3)	Luminosity	[ucd=phys.luminosity]
#Column	Rad	(F6.3)	Radius	[ucd=phys.size.radius]
#Column	logTc	(F6.3)	Central temperature	[ucd=phys.temperature]
#Column	logRHOc	(F6.3)	Density	[ucd=phys.density]
#Column	Li/Lio	(F8.5)	Lithium abundance (1)	[ucd=phys.abund]
#Column	Be/Beo	(F8.5)	Berillium abundance (1)	[ucd=phys.abund]
#[M/H]	Y	Mass	Age	Teff	Lum	Rad	logTc	logRHOc	Li/Lio	Be/Beo
#[Sun]	 	solMass	Gyr	K	[solLum]	10+8m	[K]	[g/cm3]	 	
#----	------	------	-----	----	------	------	------	------	--------	--------
 0.0	 0.275	 0.075	 0.01	3006	-2.048	 2.449	 6.199	 1.108	 1.00000	 1.00000
 0.0	 0.275	 0.075	 0.10	2835	-2.831	 1.118	 6.459	 2.125	 0.35600	 0.99800
 0.0	 0.275	 0.075	 1.00	2211	-3.695	 0.680	 6.510	 2.789	 0.00000	 0.03180
 0.0	 0.275	 0.075	10.00	2002	-3.929	 0.634	 6.492	 2.882	 0.00000	 0.00000
 0.0	 0.275	 0.080	 0.01	3025	-2.010	 2.528	 6.215	 1.097	 1.00000	 1.00000
 0.0	 0.275	 0.080	 0.10	2876	-2.780	 1.152	 6.482	 2.117	 0.17100	 0.99400
 0.0	 0.275	 0.080	 1.00	2374	-3.536	 0.708	 6.554	 2.765	 0.00000	 0.00120
 0.0	 0.275	 0.080	10.00	2314	-3.605	 0.689	 6.552	 2.803	 0.00000	 0.00000
 0.0	 0.275	 0.090	 0.01	3059	-1.939	 2.682	 6.242	 1.076	 1.00000	 1.00000
 0.0	 0.275	 0.090	 0.10	2946	-2.694	 1.213	 6.522	 2.106	 0.02050	 0.96100
 0.0	 0.275	 0.090	 1.00	2645	-3.261	 0.784	 6.617	 2.686	 0.00000	 0.00000
 0.0	 0.275	 0.090	10.00	2642	-3.265	 0.781	 6.619	 2.691	 0.00000	 0.00000
 0.0	 0.275	 0.100	 0.01	3090	-1.874	 2.833	 6.266	 1.054	 1.00000	 1.00000
 0.0	 0.275	 0.100	 0.10	3006	-2.614	 1.278	 6.555	 2.087	 0.00180	 0.85200
 0.0	 0.275	 0.100	 1.00	2811	-3.070	 0.863	 6.658	 2.607	 0.00000	 0.00000
 0.0	 0.275	 0.100	10.00	2814	-3.069	 0.863	 6.659	 2.607	 0.00000	 0.00000
 0.0	 0.275	 0.110	 0.01	3112	-1.821	 2.968	 6.288	 1.038	 1.00000	 1.00000
 0.0	 0.275	 0.110	 0.10	3051	-2.550	 1.334	 6.585	 2.075	 0.00009	 0.61000
 0.0	 0.275	 0.110	 1.00	2919	-2.932	 0.939	 6.687	 2.539	 0.00000	 0.00000
 0.0	 0.275	 0.110	10.00	2922	-2.929	 0.940	 6.688	 2.538	 0.00000	 0.00000
